ADDRESS1,ADDRESS2,POSTCODE,PROPERTY_TYPE,BUILT_FORM,CONSTRUCTION_AGE_BAND,TOTAL_FLOOR_AREA,NUMBER_HABITABLE_ROOMS,WALLS_DESCRIPTION,ROOF_DESCRIPTION,WINDOWS_DESCRIPTION,MAINHEAT_DESCRIPTION,HOTWATER_DESCRIPTION,CURRENT_ENERGY_RATING,POTENTIAL_ENERGY_RATING,LODGEMENT_DATE,UPRN
1 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,124,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010017
2 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,128,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010034
3 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,101,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010051
4 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,118,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010068
5 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,92,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010085
6 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,126,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010102
7 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,117,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010119
8 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,124,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010136
9 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,90,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010153
10 Larkhall Rise,,SW16 1AD,Flat,Mid-Terrace,England and Wales: 1930-1949,82,4,"Cavity wall, as built, insulated (assumed)",(another dwelling above),Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010170
11 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,94,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100010187
12 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,113,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010204
13 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,106,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100010221
14 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,123,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010238
15 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,122,6,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010255
16 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,94,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010272
17 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,118,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010289
18 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,99,5,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100010306
19 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,88,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010323
20 Larkhall Rise,,SW16 1AD,House,Semi-Detached,England and Wales: 1930-1949,98,4,"Cavity wall, as built, insulated (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100010340
1 Ellison Road,,SW16 2BE,House,End-Terrace,England and Wales: 1900-1929,122,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100020017
2 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,110,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020034
3 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,99,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020051
4 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,135,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100020068
5 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,108,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100020085
6 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,115,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,E,C,2023-05-14,100020102
7 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,104,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100020119
8 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,132,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020136
9 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,135,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020153
10 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,144,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020170
11 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,118,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Partial double glazing,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020187
12 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,139,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020204
13 Ellison Road,,SW16 2BE,House,End-Terrace,England and Wales: 1900-1929,133,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020221
14 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,122,6,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020238
15 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,115,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020255
16 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,109,5,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,C,C,2023-05-14,100020272
17 Ellison Road,,SW16 2BE,House,Mid-Terrace,England and Wales: 1900-1929,145,7,"Solid brick, as built, no insulation (assumed)","Pitched, 250 mm loft insulation",Fully double glazed,"Boiler and radiators, mains gas",From main system,D,C,2023-05-14,100020289
