ADDRESS,POSTCODE,DESCRIPTION
1 Larkhall Rise,SW16 1AD,Loft conversion with rear dormer and two rooflights to front elevation
3 Larkhall Rise,SW16 1AD,Single storey rear extension following demolition of existing conservatory
5 Larkhall Rise,SW16 1AD,Conversion of integral garage to habitable room
6 Larkhall Rise,SW16 1AD,Loft conversion with rear dormer and two rooflights to front elevation
6 Larkhall Rise,SW16 1AD,Single storey rear extension following demolition of existing conservatory
11 Larkhall Rise,SW16 1AD,Loft conversion with rear dormer and two rooflights to front elevation
12 Larkhall Rise,SW16 1AD,Conversion of integral garage to habitable room
13 Larkhall Rise,SW16 1AD,Single storey rear extension following demolition of existing conservatory
13 Larkhall Rise,SW16 1AD,Side return extension and internal alterations at ground floor
14 Larkhall Rise,SW16 1AD,Single storey rear extension following demolition of existing conservatory
15 Larkhall Rise,SW16 1AD,Conversion of integral garage to habitable room
16 Larkhall Rise,SW16 1AD,Single storey rear extension following demolition of existing conservatory
19 Larkhall Rise,SW16 1AD,Side return extension and internal alterations at ground floor
2 Ellison Road,SW16 2BE,Loft conversion with rear dormer and two rooflights to front elevation
3 Ellison Road,SW16 2BE,Single storey rear extension following demolition of existing conservatory
4 Ellison Road,SW16 2BE,Loft conversion with rear dormer and two rooflights to front elevation
10 Ellison Road,SW16 2BE,Loft conversion with rear dormer and two rooflights to front elevation
10 Ellison Road,SW16 2BE,Single storey rear extension following demolition of existing conservatory
12 Ellison Road,SW16 2BE,Single storey rear extension following demolition of existing conservatory
13 Ellison Road,SW16 2BE,Single storey rear extension following demolition of existing conservatory
14 Ellison Road,SW16 2BE,Single storey rear extension following demolition of existing conservatory
16 Ellison Road,SW16 2BE,Loft conversion with rear dormer and two rooflights to front elevation
17 Ellison Road,SW16 2BE,Loft conversion with rear dormer and two rooflights to front elevation
4 Braxted Park,SW16 1CF,Loft conversion with rear dormer and two rooflights to front elevation
4 Braxted Park,SW16 1CF,Side return extension and internal alterations at ground floor
6 Braxted Park,SW16 1CF,Single storey rear extension following demolition of existing conservatory
8 Braxted Park,SW16 1CF,Single storey rear extension following demolition of existing conservatory
